metabolite,SampleID,flux,description
h_m,SRR19820313,247.1524775,proton
mqn8_m,SRR19820313,0.400485727,Menaquinone 8
h2s_m,SRR19820313,0.796166424,Hydrogen sulfide
so4_m,SRR19820313,1.601359463,sulfate
co2_m,SRR19820313,2.291528552,carbon dioxide
tma_m,SRR19820313,2.639255279,trimethylamine
mqn7_m,SRR19820313,0.648754773,Menaquinone 7
tmao_m,SRR19820313,1.00E-06,Trimethylamine N-oxide
ppa_m,SRR19820313,0.332892889,propionate
h2o_m,SRR19820313,5.456517685,Water
so3_m,SRR19820313,0.220578695,Sulfite
tsul_m,SRR19820313,0.019462826,thiosulfate(2-)
pac_m,SRR19820313,1.00E-06,phenylacetate
4hbz_m,SRR19820313,1.00E-06,4-hydroxybenzoate
o2_m,SRR19820313,1.00E-06,O2
btd_RR_m,SRR19820313,1.00E-06,R_R__2_3_Butanediol
fuc_L_m,SRR19820313,1.00E-06,L-fucose
phenol_m,SRR19820313,1.00E-06,Phenol
isobut_m,SRR19820313,1.00E-06,"Isobutyrate, 2-Methylpropanoate"
4hphac_m,SRR19820313,1.00E-06,4-hydroxyphenylacetate
cit_m,SRR19820313,1.00E-06,Citrate
4hoxpacd_m,SRR19820313,1.00E-06,(4-hydroxyphenyl)acetaldehyde
isocapr_m,SRR19820313,1.00E-06,Isocaproate
nac_m,SRR19820313,0.095375572,Nicotinate
2obut_m,SRR19820313,1.00E-06,2-Oxobutanoate
phpyr_m,SRR19820313,1.00E-06,keto-phenylpyruvate
glcn_m,SRR19820313,1.00E-06,D-gluconate
ttdca_m,SRR19820313,1.00E-06,tetradecanoate (n-C14:0)
ribflv_m,SRR19820313,1.00E-06,Riboflavin
ch4s_m,SRR19820313,1.00E-06,Methanethiol
ocdca_m,SRR19820313,1.00E-06,octadecanoate (n-C18:0)
hdca_m,SRR19820313,1.00E-06,Hexadecanoate (n-C16:0)
xan_m,SRR19820313,1.00E-06,Xanthine
ppi_m,SRR19820313,0.000474546,Diphosphate
2hyoxplac_m,SRR19820313,1.00E-06,2-Hydroxyphenylacetate
isoval_m,SRR19820313,1.00E-06,"Isovalerate, 3-Methylbutanoate"
hxan_m,SRR19820313,1.00E-06,Hypoxanthine
thymd_m,SRR19820313,1.00E-06,Thymidine
apio_D_m,SRR19820313,1.00E-06,D-Apiose (rare sugar in rhamnogalacturonan II)
acerA_m,SRR19820313,1.00E-06,Aceric acid (3-C-carboxy-5-deoxy-l-xylose) (rare sugar in rhamnogalacturonan II)
kdo_m,SRR19820313,1.00E-06,3-Deoxy-D-manno-2-octulosonate
3ddlhept_m,SRR19820313,1.00E-06,3-deoxy-d-lyxo-heptulosaric acid (rare sugar in rhamnogalacturonan II)
2omfuc_m,SRR19820313,1.00E-06,2-o-methylfucose (rare sugar in rhamnogalacturonan II)
2omxyl_m,SRR19820313,1.00E-06,2-O-methylxylose (rare sugar in rhamnogalacturonan II)
h_m,SRR19820361,27.51265155,proton
mqn8_m,SRR19820361,79.14037129,Menaquinone 8
h2s_m,SRR19820361,36.82738978,Hydrogen sulfide
so4_m,SRR19820361,30.66686151,sulfate
co2_m,SRR19820361,55.18499989,carbon dioxide
tma_m,SRR19820361,46.10005198,trimethylamine
mqn7_m,SRR19820361,6.053777798,Menaquinone 7
tmao_m,SRR19820361,21.48122196,Trimethylamine N-oxide
ppa_m,SRR19820361,8.837869458,propionate
h2o_m,SRR19820361,1.00E-06,Water
so3_m,SRR19820361,1.00E-06,Sulfite
tsul_m,SRR19820361,1.00E-06,thiosulfate(2-)
pac_m,SRR19820361,2.410712776,phenylacetate
4hbz_m,SRR19820361,1.00E-06,4-hydroxybenzoate
o2_m,SRR19820361,1.00E-06,O2
btd_RR_m,SRR19820361,0.53850081,R_R__2_3_Butanediol
fuc_L_m,SRR19820361,1.00E-06,L-fucose
phenol_m,SRR19820361,1.00E-06,Phenol
isobut_m,SRR19820361,1.00E-06,"Isobutyrate, 2-Methylpropanoate"
4hphac_m,SRR19820361,1.00E-06,4-hydroxyphenylacetate
cit_m,SRR19820361,1.00E-06,Citrate
4hoxpacd_m,SRR19820361,0.290078475,(4-hydroxyphenyl)acetaldehyde
isocapr_m,SRR19820361,0.342764932,Isocaproate
nac_m,SRR19820361,0.095110081,Nicotinate
2obut_m,SRR19820361,1.00E-06,2-Oxobutanoate
phpyr_m,SRR19820361,1.00E-06,keto-phenylpyruvate
glcn_m,SRR19820361,1.00E-06,D-gluconate
ttdca_m,SRR19820361,1.00E-06,tetradecanoate (n-C14:0)
ribflv_m,SRR19820361,1.00E-06,Riboflavin
ch4s_m,SRR19820361,0.109301772,Methanethiol
ocdca_m,SRR19820361,1.00E-06,octadecanoate (n-C18:0)
hdca_m,SRR19820361,1.00E-06,Hexadecanoate (n-C16:0)
xan_m,SRR19820361,1.00E-06,Xanthine
ppi_m,SRR19820361,0.000106486,Diphosphate
2hyoxplac_m,SRR19820361,1.00E-06,2-Hydroxyphenylacetate
isoval_m,SRR19820361,1.00E-06,"Isovalerate, 3-Methylbutanoate"
hxan_m,SRR19820361,1.00E-06,Hypoxanthine
thymd_m,SRR19820361,1.00E-06,Thymidine
apio_D_m,SRR19820361,1.00E-06,D-Apiose (rare sugar in rhamnogalacturonan II)
acerA_m,SRR19820361,1.00E-06,Aceric acid (3-C-carboxy-5-deoxy-l-xylose) (rare sugar in rhamnogalacturonan II)
kdo_m,SRR19820361,1.00E-06,3-Deoxy-D-manno-2-octulosonate
3ddlhept_m,SRR19820361,1.00E-06,3-deoxy-d-lyxo-heptulosaric acid (rare sugar in rhamnogalacturonan II)
2omfuc_m,SRR19820361,1.00E-06,2-o-methylfucose (rare sugar in rhamnogalacturonan II)
2omxyl_m,SRR19820361,1.00E-06,2-O-methylxylose (rare sugar in rhamnogalacturonan II)
h_m,SRR19820312,1.00E-06,proton
mqn8_m,SRR19820312,1.00E-06,Menaquinone 8
h2s_m,SRR19820312,5.071327418,Hydrogen sulfide
so4_m,SRR19820312,16.89308774,sulfate
co2_m,SRR19820312,7.315546541,carbon dioxide
tma_m,SRR19820312,23.04208013,trimethylamine
mqn7_m,SRR19820312,40.99913358,Menaquinone 7
tmao_m,SRR19820312,1.00E-06,Trimethylamine N-oxide
ppa_m,SRR19820312,2.612602244,propionate
h2o_m,SRR19820312,1.00E-06,Water
so3_m,SRR19820312,1.00E-06,Sulfite
tsul_m,SRR19820312,0.629944802,thiosulfate(2-)
pac_m,SRR19820312,0.418567187,phenylacetate
4hbz_m,SRR19820312,1.00E-06,4-hydroxybenzoate
o2_m,SRR19820312,1.00E-06,O2
btd_RR_m,SRR19820312,1.00E-06,R_R__2_3_Butanediol
fuc_L_m,SRR19820312,1.00E-06,L-fucose
phenol_m,SRR19820312,1.00E-06,Phenol
isobut_m,SRR19820312,0.577135602,"Isobutyrate, 2-Methylpropanoate"
4hphac_m,SRR19820312,0.33697969,4-hydroxyphenylacetate
cit_m,SRR19820312,0.419195977,Citrate
4hoxpacd_m,SRR19820312,0.032509753,(4-hydroxyphenyl)acetaldehyde
isocapr_m,SRR19820312,0.295019722,Isocaproate
nac_m,SRR19820312,0.19485357,Nicotinate
2obut_m,SRR19820312,1.00E-06,2-Oxobutanoate
phpyr_m,SRR19820312,1.00E-06,keto-phenylpyruvate
glcn_m,SRR19820312,1.00E-06,D-gluconate
ttdca_m,SRR19820312,1.00E-06,tetradecanoate (n-C14:0)
ribflv_m,SRR19820312,0.06846411,Riboflavin
ch4s_m,SRR19820312,1.00E-06,Methanethiol
ocdca_m,SRR19820312,0.079477985,octadecanoate (n-C18:0)
hdca_m,SRR19820312,1.00E-06,Hexadecanoate (n-C16:0)
xan_m,SRR19820312,1.00E-06,Xanthine
ppi_m,SRR19820312,1.32E-06,Diphosphate
