SampleID,isobut_m,isocapr_m,isoval_m,2hyoxplac_m,4hphac_m,tma_m,h2s_m,hdca_m,ocdca_m,ttdca_m,4hbz_m,phenol_m,phpyr_m,indole_m
DRR212401,1.00E-06,1.00E-06,1.00E-06,1.00E-06,0.020379699,0.80927603,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06
DRR212402,1.00E-06,1.00E-06,1.00E-06,1.00E-06,0.066734487,15.4819463,6.467294785,1.00E-06,1.00E-06,1.00E-06,0.200272596,1.00E-06,1.00E-06,1.00E-06
DRR212403,1.00E-06,1.00E-06,1.00E-06,1.00E-06,0.005169233,10.53133397,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06
DRR212404,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.648416343,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06
DRR212405,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.234044194,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06
DRR212406,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,5.419863448,1.00E-06,1.00E-06,1.00E-06,0.024345134,1.00E-06,0.5912577,1.00E-06,1.00E-06
DRR212407,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,3.053840536,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06
DRR212408,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,4.965034965,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,0.054048418,1.00E-06,1.00E-06
DRR212409,0.042702674,1.00E-06,1.00E-06,1.00E-06,1.00E-06,5.865695793,1.00E-06,1.00E-06,1.00E-06,1.00E-06,0.637514604,1.00E-06,1.00E-06,1.00E-06
DRR212410,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,7.721661055,0.82656961,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06
DRR212411,0.068057066,1.00E-06,1.00E-06,1.00E-06,1.00E-06,5.508437527,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06
DRR212412,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,5.527241404,1.00E-06,1.00E-06,0.008350165,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06
DRR212413,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,6.49672684,1.00E-06,1.00E-06,1.00E-06,1.00E-06,0.237732941,1.00E-06,1.00E-06,1.00E-06
