SampleID,isobut_m,isocapr_m,isoval_m,4hphac_m,hdca_m,ocdca_m,tma_m,2hyoxplac_m,so3_m,h2s_m
DRR212401,1.00E-06,1.00E-06,1.00E-06,0.020379699,1.00E-06,1.00E-06,0.80927603,1.00E-06,1.024528786,1.00E-06
DRR212402,1.00E-06,1.00E-06,1.00E-06,0.066734487,1.00E-06,1.00E-06,15.4819463,1.00E-06,9.212926989,6.467294785
DRR212403,1.00E-06,1.00E-06,1.00E-06,0.005169233,1.00E-06,1.00E-06,10.53133397,1.00E-06,10.76030212,1.00E-06
DRR212404,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.648416343,1.00E-06,1.895554554,1.00E-06
DRR212405,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.234044194,1.00E-06,0.47303037,1.00E-06
DRR212406,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,5.419863448,1.00E-06,2.146251877,1.00E-06
DRR212407,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,3.053840536,1.00E-06,0.765798798,1.00E-06
DRR212408,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,4.965034965,1.00E-06,2.929135885,1.00E-06
DRR212409,0.042702674,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,5.865695793,1.00E-06,6.002886628,1.00E-06
DRR212410,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,7.721661055,1.00E-06,1.880507199,0.82656961
DRR212411,0.068057066,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,5.508437527,1.00E-06,2.937955365,1.00E-06
DRR212412,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,0.008350165,5.527241404,1.00E-06,2.455066101,1.00E-06
DRR212413,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,6.49672684,1.00E-06,6.698694207,1.00E-06
DRR212414,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,3.774195288,1.00E-06,1.171295273,1.00E-06
DRR212415,1.00E-06,1.00E-06,1.00E-06,1.00E-06,0.121029402,1.00E-06,2.589884217,1.00E-06,1.227238201,1.00E-06
DRR212416,1.00E-06,0.319188517,0.159594258,1.00E-06,1.00E-06,1.00E-06,7.785220456,1.00E-06,1.00E-06,1.898094656
DRR212417,1.00E-06,0.031266477,0.015633239,1.00E-06,0.167375578,1.00E-06,7.632651266,1.00E-06,1.00E-06,0.924197538
DRR212418,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,30.37636652,1.00E-06,1.00E-06,10.0754571
DRR212419,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,22.2521846,1.00E-06,1.00E-06,9.314290775
DRR212420,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,17.29687299,1.00E-06,1.00E-06,6.483464884
DRR212421,1.00E-06,1.00E-06,1.00E-06,0.028816422,1.00E-06,1.00E-06,1.493793231,1.00E-06,0.461729065,1.00E-06
DRR212422,1.00E-06,0.016269497,0.008134749,0.001879635,0.246731754,1.00E-06,8.930672655,0.016163553,1.00E-06,1.22767787
