metabolite,SampleID,flux,description
mqn7_m,SRR11128252,1.00E-06,Menaquinone 7
mqn8_m,SRR11128252,803.5992661,Menaquinone 8
h_m,SRR11128252,1.061768637,proton
h2s_m,SRR11128252,1.00E-06,Hydrogen sulfide
so4_m,SRR11128252,0.967215388,sulfate
co2_m,SRR11128252,0.053745716,carbon dioxide
tma_m,SRR11128252,1.00E-06,trimethylamine
h2o_m,SRR11128252,1.235614545,Water
tmao_m,SRR11128252,0.969529,Trimethylamine N-oxide
so3_m,SRR11128252,0.220517598,Sulfite
tsul_m,SRR11128252,1.00E-06,thiosulfate(2-)
for_m,SRR11128252,1.00E-06,Formate
chol_m,SRR11128252,1.00E-06,Choline
o2_m,SRR11128252,1.00E-06,O2
diact_m,SRR11128252,1.00E-06,Diacetyl
ppa_m,SRR11128252,1.00E-06,propionate
h2_m,SRR11128252,1.00E-06,Hydrogen
xan_m,SRR11128252,0.535548521,Xanthine
lac_L_m,SRR11128252,1.00E-06,(S)-lactate
glyc_m,SRR11128252,1.00E-06,Glycerol
succ_m,SRR11128252,1.00E-06,Succinate
isocapr_m,SRR11128252,1.00E-06,Isocaproate
oxa_m,SRR11128252,1.00E-06,oxalate(2-)
glyclt_m,SRR11128252,1.00E-06,glycolate
pac_m,SRR11128252,1.00E-06,phenylacetate
acald_m,SRR11128252,1.00E-06,acetaldehyde
actn_R_m,SRR11128252,1.00E-06,(R)-Acetoin
isobut_m,SRR11128252,1.00E-06,"Isobutyrate, 2-Methylpropanoate"
chor_m,SRR11128252,1.00E-06,chorismate
hxan_m,SRR11128252,1.00E-06,Hypoxanthine
mnl_m,SRR11128252,1.00E-06,D-Mannitol
gcald_m,SRR11128252,1.00E-06,glycolaldehyde
fuc_L_m,SRR11128252,1.00E-06,L-fucose
bhb_m,SRR11128252,1.00E-06,(R)-3-hydroxybutyrate
cit_m,SRR11128252,1.00E-06,Citrate
isoval_m,SRR11128252,1.00E-06,"Isovalerate, 3-Methylbutanoate"
nac_m,SRR11128252,0.095372776,Nicotinate
ura_m,SRR11128252,0.198013715,uracil
glyb_m,SRR11128252,1.00E-06,glycine betaine
rib_D_m,SRR11128252,1.00E-06,D-ribose
glcn_m,SRR11128252,1.00E-06,D-gluconate
3mop_m,SRR11128252,1.00E-06,3-methyl-2-oxopentanoate
alltn_m,SRR11128252,1.00E-06,Allantoin
inost_m,SRR11128252,1.00E-06,myo-inositol
phenol_m,SRR11128252,0.046707607,Phenol
mal_L_m,SRR11128252,1.00E-06,(S)-malate(2-)
phpyr_m,SRR11128252,0.029669117,keto-phenylpyruvate
thymd_m,SRR11128252,0.008328744,Thymidine
4hbz_m,SRR11128252,1.00E-06,4-hydroxybenzoate
etoh_m,SRR11128252,1.00E-06,ethanol
lald_L_m,SRR11128252,1.00E-06,(S)-lactaldehyde
ins_m,SRR11128252,1.00E-06,Inosine
but_m,SRR11128252,1.00E-06,butyrate
4hphac_m,SRR11128252,1.00E-06,4-hydroxyphenylacetate
uri_m,SRR11128252,1.00E-06,Uridine
ocdca_m,SRR11128252,1.00E-06,octadecanoate (n-C18:0)
2ddglcn_m,SRR11128252,1.00E-06,2-Dehydro-3-deoxy-D-gluconate
ribflv_m,SRR11128252,1.00E-06,Riboflavin
hdca_m,SRR11128252,1.00E-06,Hexadecanoate (n-C16:0)
meoh_m,SRR11128252,1.00E-06,methanol
4hoxpacd_m,SRR11128252,1.00E-06,(4-hydroxyphenyl)acetaldehyde
