SampleID,so3_m,tma_m,h2s_m,nac_m,ppi_m,pac_m,h_m,mqn7_m,h2o_m,tmao_m,acerA_m,mnl_m,ppa_m,4hbz_m,tmao_m,ura_m,tsul_m,thymd_m,so4_m,apio_D_m
DRR212401,1.024528786,0.80927603,1.00E-06,0.095002738,1.00E-06,0.045210636,1.00E-06,125.933483,7.68431351,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,0.094748904,1.00E-06,0.021337872,1.00E-06,1.00E-06
DRR212402,9.212926989,15.4819463,6.467294785,0.135909446,1.00E-06,0.100735489,5.033304997,159.7572266,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,0.200272596,1.00E-06,0.066710974,1.00E-06,0.131838004,1.00E-06,1.00E-06
DRR212403,10.76030212,10.53133397,1.00E-06,0.094891285,1.00E-06,0.063193742,1.00E-06,66.69844847,3.194295695,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,0.127812345,1.00E-06,1.00E-06
DRR212404,1.895554554,1.648416343,1.00E-06,0.094856235,1.00E-06,1.00E-06,1.00E-06,13.12845873,19.43824612,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,0.08577673,1.00E-06,1.00E-06,1.00E-06,1.00E-06
DRR212405,0.47303037,1.234044194,1.00E-06,0.095023365,1.00E-06,1.00E-06,1.00E-06,31.92801657,26.45736798,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,0.083215536,1.00E-06,1.00E-06,0.915570585,1.00E-06
DRR212406,2.146251877,5.419863448,1.00E-06,0.19591752,3.03E-05,0.061777852,1.00E-06,91.39637889,13.40242204,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,0.239396513,3.461284722,1.00E-06
DRR212407,0.765798798,3.053840536,1.00E-06,0.096064854,0.000154977,1.00E-06,1.00E-06,38.30205532,12.20091332,1.00E-06,1.00E-06,0.321893601,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,0.139085267,2.443371189,1.00E-06
DRR212408,2.929135885,4.965034965,1.00E-06,0.196079722,7.71E-05,0.091152156,1.00E-06,121.0909091,10.01831264,1.00E-06,1.00E-06,0.624536852,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,0.076174915,2.269704639,1.00E-06
DRR212409,6.002886628,5.865695793,1.00E-06,0.095870277,2.26E-05,0.070093209,1.00E-06,85.20786169,14.71788566,1.00E-06,1.00E-06,0.186977195,1.00E-06,0.637514604,1.00E-06,1.00E-06,1.00E-06,0.141214928,1.00E-06,1.00E-06
DRR212410,1.880507199,7.721661055,0.82656961,0.096332079,1.00E-06,1.00E-06,1.00E-06,105.0056117,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,0.120584019,1.00E-06,1.00E-06,5.238376461,1.00E-06
DRR212411,2.937955365,5.508437527,1.00E-06,0.196321564,1.00E-06,1.00E-06,13.98277969,55.12758994,6.109464423,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,0.121129528,2.794295426,1.00E-06
DRR212412,2.455066101,5.527241404,1.00E-06,0.196335602,1.00E-06,0.112330799,1.00E-06,82.59995694,5.094434855,1.00E-06,1.00E-06,0.608443967,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,0.120829652,3.27933244,1.00E-06
