SampleID,metabolite,flux,name,molecular_weight,C_number,N_number,hmdb,inchi,kegg.compound,pubchem.compound,reaction,Protein_source
DRR212401,2ddglcn[e],0.0326464,2-Dehydro-3-deoxy-D-gluconate,177.13206,6,0,,,,,EX_2ddglcn(e),Animal
DRR212403,2ddglcn[e],1.053133397,2-Dehydro-3-deoxy-D-gluconate,177.13206,6,0,,,,,EX_2ddglcn(e),Animal
DRR212406,2ddglcn[e],0.541986345,2-Dehydro-3-deoxy-D-gluconate,177.13206,6,0,,,,,EX_2ddglcn(e),Animal
DRR212408,2ddglcn[e],0.538461538,2-Dehydro-3-deoxy-D-gluconate,177.13206,6,0,,,,,EX_2ddglcn(e),Animal
DRR212409,2ddglcn[e],41.31877023,2-Dehydro-3-deoxy-D-gluconate,177.13206,6,0,,,,,EX_2ddglcn(e),Animal
DRR212411,2ddglcn[e],0.620792166,2-Dehydro-3-deoxy-D-gluconate,177.13206,6,0,,,,,EX_2ddglcn(e),Animal
DRR212412,2ddglcn[e],31.67382014,2-Dehydro-3-deoxy-D-gluconate,177.13206,6,0,,,,,EX_2ddglcn(e),Animal
DRR212416,2ddglcn[e],0.048646019,2-Dehydro-3-deoxy-D-gluconate,177.13206,6,0,,,,,EX_2ddglcn(e),Animal
DRR212419,2ddglcn[e],0.027307482,2-Dehydro-3-deoxy-D-gluconate,177.13206,6,0,,,,,EX_2ddglcn(e),Animal
DRR212420,2ddglcn[e],0.030207569,2-Dehydro-3-deoxy-D-gluconate,177.13206,6,0,,,,,EX_2ddglcn(e),Animal
DRR212421,2ddglcn[e],0.028938325,2-Dehydro-3-deoxy-D-gluconate,177.13206,6,0,,,,,EX_2ddglcn(e),Animal
DRR212422,2ddglcn[e],0.02472086,2-Dehydro-3-deoxy-D-gluconate,177.13206,6,0,,,,,EX_2ddglcn(e),Animal
DRR212424,2ddglcn[e],0.046758625,2-Dehydro-3-deoxy-D-gluconate,177.13206,6,0,,,,,EX_2ddglcn(e),Animal
DRR212428,2ddglcn[e],0.298610943,2-Dehydro-3-deoxy-D-gluconate,177.13206,6,0,,,,,EX_2ddglcn(e),Animal
DRR212430,2ddglcn[e],0.073575188,2-Dehydro-3-deoxy-D-gluconate,177.13206,6,0,,,,,EX_2ddglcn(e),Animal
ERR2438175,2ddglcn[e],0.046995242,2-Dehydro-3-deoxy-D-gluconate,177.13206,6,0,,,,,EX_2ddglcn(e),Animal
SRR11128233,2ddglcn[e],0.073421439,2-Dehydro-3-deoxy-D-gluconate,177.13206,6,0,,,,,EX_2ddglcn(e),Animal
SRR11128251,2ddglcn[e],0.0858664,2-Dehydro-3-deoxy-D-gluconate,177.13206,6,0,,,,,EX_2ddglcn(e),Animal
SRR18156376,2ddglcn[e],0.08431703,2-Dehydro-3-deoxy-D-gluconate,177.13206,6,0,,,,,EX_2ddglcn(e),Plant
SRR18156377,2ddglcn[e],0.44534413,2-Dehydro-3-deoxy-D-gluconate,177.13206,6,0,,,,,EX_2ddglcn(e),Plant
SRR18156378,2ddglcn[e],0.473598643,2-Dehydro-3-deoxy-D-gluconate,177.13206,6,0,,,,,EX_2ddglcn(e),Plant
SRR18156379,2ddglcn[e],0.745903644,2-Dehydro-3-deoxy-D-gluconate,177.13206,6,0,,,,,EX_2ddglcn(e),Plant
SRR18156383,2ddglcn[e],0.134559318,2-Dehydro-3-deoxy-D-gluconate,177.13206,6,0,,,,,EX_2ddglcn(e),Plant
SRR18156384,2ddglcn[e],0.162262401,2-Dehydro-3-deoxy-D-gluconate,177.13206,6,0,,,,,EX_2ddglcn(e),Plant
SRR18156385,2ddglcn[e],2.016390738,2-Dehydro-3-deoxy-D-gluconate,177.13206,6,0,,,,,EX_2ddglcn(e),Plant
SRR18156386,2ddglcn[e],0.476429288,2-Dehydro-3-deoxy-D-gluconate,177.13206,6,0,,,,,EX_2ddglcn(e),Plant
SRR19820312,2ddglcn[e],0.041262379,2-Dehydro-3-deoxy-D-gluconate,177.13206,6,0,,,,,EX_2ddglcn(e),Plant
SRR19820314,2ddglcn[e],0.051696284,2-Dehydro-3-deoxy-D-gluconate,177.13206,6,0,,,,,EX_2ddglcn(e),Plant
SRR19820352,2ddglcn[e],0.130449419,2-Dehydro-3-deoxy-D-gluconate,177.13206,6,0,,,,,EX_2ddglcn(e),Plant
SRR19820361,2ddglcn[e],0.540919283,2-Dehydro-3-deoxy-D-gluconate,177.13206,6,0,,,,,EX_2ddglcn(e),Plant
SRR20999500,2ddglcn[e],0.048595588,2-Dehydro-3-deoxy-D-gluconate,177.13206,6,0,,,,,EX_2ddglcn(e),Animal
SRR20999503,2ddglcn[e],0.067779378,2-Dehydro-3-deoxy-D-gluconate,177.13206,6,0,,,,,EX_2ddglcn(e),Animal
DRR212401,2obut[e],3.34217508,2-Oxobutanoate,101.0807,4,0,HMDB00005,"InChI=1S/C4H6O3/c1-2-3(5)4(6)7/h2H2,1H3,(H,6,7)/p-1",C00109,58,EX_2obut(e),Animal
DRR212402,2obut[e],14.23246849,2-Oxobutanoate,101.0807,4,0,HMDB00005,"InChI=1S/C4H6O3/c1-2-3(5)4(6)7/h2H2,1H3,(H,6,7)/p-1",C00109,58,EX_2obut(e),Animal
DRR212403,2obut[e],5.846407173,2-Oxobutanoate,101.0807,4,0,HMDB00005,"InChI=1S/C4H6O3/c1-2-3(5)4(6)7/h2H2,1H3,(H,6,7)/p-1",C00109,58,EX_2obut(e),Animal
DRR212404,2obut[e],0.565166596,2-Oxobutanoate,101.0807,4,0,HMDB00005,"InChI=1S/C4H6O3/c1-2-3(5)4(6)7/h2H2,1H3,(H,6,7)/p-1",C00109,58,EX_2obut(e),Animal
DRR212405,2obut[e],3.779260352,2-Oxobutanoate,101.0807,4,0,HMDB00005,"InChI=1S/C4H6O3/c1-2-3(5)4(6)7/h2H2,1H3,(H,6,7)/p-1",C00109,58,EX_2obut(e),Animal
DRR212406,2obut[e],26.98015019,2-Oxobutanoate,101.0807,4,0,HMDB00005,"InChI=1S/C4H6O3/c1-2-3(5)4(6)7/h2H2,1H3,(H,6,7)/p-1",C00109,58,EX_2obut(e),Animal
DRR212407,2obut[e],4.149359059,2-Oxobutanoate,101.0807,4,0,HMDB00005,"InChI=1S/C4H6O3/c1-2-3(5)4(6)7/h2H2,1H3,(H,6,7)/p-1",C00109,58,EX_2obut(e),Animal
DRR212408,2obut[e],13.87412587,2-Oxobutanoate,101.0807,4,0,HMDB00005,"InChI=1S/C4H6O3/c1-2-3(5)4(6)7/h2H2,1H3,(H,6,7)/p-1",C00109,58,EX_2obut(e),Animal
DRR212409,2obut[e],2.010998579,2-Oxobutanoate,101.0807,4,0,HMDB00005,"InChI=1S/C4H6O3/c1-2-3(5)4(6)7/h2H2,1H3,(H,6,7)/p-1",C00109,58,EX_2obut(e),Animal
DRR212410,2obut[e],7.764970196,2-Oxobutanoate,101.0807,4,0,HMDB00005,"InChI=1S/C4H6O3/c1-2-3(5)4(6)7/h2H2,1H3,(H,6,7)/p-1",C00109,58,EX_2obut(e),Animal
DRR212411,2obut[e],2.736731644,2-Oxobutanoate,101.0807,4,0,HMDB00005,"InChI=1S/C4H6O3/c1-2-3(5)4(6)7/h2H2,1H3,(H,6,7)/p-1",C00109,58,EX_2obut(e),Animal
