SampleID,taxon,TSNE 1,TSNE 2
DRR212401,g__Alistipes,49.716045,20.083567
DRR212401,g__Bacteroides,51.927658,-13.05434
DRR212401,g__Butyricicoccus,31.135084,2.334946
DRR212401,g__Corynebacterium,51.218445,5.069317
DRR212401,g__Enterococcus,48.15142,-16.762218
DRR212401,g__Lactobacillus,-10.197388,-35.615116
DRR212401,g__Lactococcus,49.200645,-53.245316
DRR212401,g__Ligilactobacillus,2.1605582,6.499918
DRR212401,g__Staphylococcus,-49.928974,-0.52613926
DRR212401,g__Streptococcus,4.427523,78.844925
DRR212402,g__Alistipes,49.578518,-5.0051513
DRR212402,g__Alloprevotella,21.174654,-29.971437
DRR212402,g__Anaerotruncus,43.357227,26.749878
DRR212402,g__Bacteroides,-13.695421,37.299114
DRR212402,g__Corynebacterium,51.161087,-0.8767159
DRR212402,g__Lactobacillus,-18.719324,7.139813
DRR212402,g__Lactococcus,50.042866,-53.380505
DRR212402,g__Ligilactobacillus,26.480381,-47.013824
DRR212402,g__Marvinbryantia,18.801107,29.968653
DRR212402,g__Staphylococcus,-50.532986,0.96806616
DRR212402,g__Streptococcus,3.3920178,79.32192
DRR212403,g__Alloprevotella,22.784517,-30.191042
DRR212403,g__Bacteroides,48.60327,-9.166737
DRR212403,g__Bifidobacterium,71.954346,-12.344897
DRR212403,g__Corynebacterium,47.66742,7.6001625
DRR212403,g__Enterococcus,45.15919,-14.3417635
DRR212403,g__Faecalibacterium,33.46426,5.933213
DRR212403,g__Lactobacillus,4.6103697,-38.862198
DRR212403,g__Lactococcus,61.026955,-44.70375
DRR212403,g__Ligilactobacillus,20.62594,-29.08429
DRR212403,g__Megamonas,52.791176,-2.5818794
DRR212403,g__Staphylococcus,-49.46649,0.575937
DRR212403,g__Streptococcus,4.9067235,78.147514
DRR212404,g__Bacteroides,34.168266,-17.020546
DRR212404,g__Bifidobacterium,33.74147,6.783982
DRR212404,g__Corynebacterium,2.983878,36.341152
DRR212404,g__Enterococcus,48.190742,-17.446323
DRR212404,g__Faecalibacterium,10.819116,-13.034967
DRR212404,g__Holdemanella,32.667957,40.843925
DRR212404,g__Lactococcus,46.759533,-45.378082
DRR212404,g__Ligilactobacillus,11.287015,-16.319687
DRR212404,g__Megamonas,10.75189,-12.819827
DRR212404,g__Staphylococcus,-48.015137,-1.6084131
DRR212404,g__Streptococcus,4.5246634,79.8036
DRR212405,g__Bacteroides,49.389065,-8.9624195
DRR212405,g__Bifidobacterium,71.345,-12.385486
DRR212405,g__Enterococcus,14.625448,-52.25558
DRR212405,g__Faecalibacterium,42.70774,-4.111329
DRR212405,g__Lactobacillus,12.365587,-20.036861
DRR212405,g__Lactococcus,47.69917,-46.69072
DRR212405,g__Ligilactobacillus,42.68643,-20.862183
DRR212405,g__Staphylococcus,-48.857548,0.20630464
DRR212405,g__Streptococcus,2.078025,78.5659
DRR212406,g__Alistipes,53.182625,-8.840116
