metabolite,SampleID,flux,description
dcyt_m,ERR5691345,0.009428764,Deoxycytidine
glyc3p_m,ERR5691345,0.037220844,Glycerol 3-phosphate
glyleu_m,ERR5691345,0.104920729,Glycylleucine
amp_m,ERR5691345,1.00E-06,AMP
nmn_m,ERR5691345,0.037234239,NMN
cgly_m,ERR5691345,0.043906291,L-cysteinylglycine
glyasp_m,ERR5691345,1.00E-06,Glycyl-L-aspartate
26dap_M_m,ERR5691345,0.010284632,"meso-2,6-Diaminoheptanedioate"
orn_m,ERR5691345,0.042955165,Ornithine
csn_m,ERR5691345,3.39E-06,cytosine
cytd_m,ERR5691345,1.00E-06,Cytidine
acmana_m,ERR5691345,1.00E-06,N-acetyl-D-mannosamine
adn_m,ERR5691345,1.00E-06,Adenosine
metsox_S_L_m,ERR5691345,1.00E-06,L-Methionine Sulfoxide
dgsn_m,ERR5691345,1.00E-06,Deoxyguanosine
phe_L_m,ERR5691345,0.012546135,L-phenylalanine
tyr_L_m,ERR5691345,0.009798415,L-tyrosine
uri_m,ERR5691345,1.00E-06,Uridine
ddca_m,ERR5691345,0.1,laurate
cellb_m,ERR5691345,0.051318201,cellobiose
tre_m,ERR5691345,0.074493,Trehalose
gsn_m,ERR5691345,1.00E-06,Guanosine
lys_L_m,ERR5691345,0.014922171,L-lysinium(1+)
arg_L_m,ERR5691345,0.015,L-argininium(1+)
his_L_m,ERR5691345,0.006435772,L-histidine
asn_L_m,ERR5691345,1.00E-06,L-asparagine
gln_L_m,ERR5691345,1.00E-06,L-glutamine
ade_m,ERR5691345,1.00E-06,Adenine
ocdcea_m,ERR5691345,1.00E-06,octadecenoate (n-C18:1)
cys_L_m,ERR5691345,1.00E-06,L-cysteine
gua_m,ERR5691345,1.00E-06,Guanine
ncam_m,ERR5691345,1.00E-06,Nicotinamide
ala_L_m,ERR5691345,1.00E-06,L-alanine
val_L_m,ERR5691345,1.00E-06,L-valine
3mop_m,ERR5691345,1.00E-06,3-methyl-2-oxopentanoate
ura_m,ERR5691345,1.00E-06,uracil
ala_D_m,ERR5691345,1.00E-06,D-alanine
met_L_m,ERR5691345,1.00E-06,L-methionine
ile_L_m,ERR5691345,1.00E-06,L-isoleucine
trp_L_m,ERR5691345,0.003832472,L-tryptophan
pro_L_m,ERR5691345,1.00E-06,L-proline
thr_L_m,ERR5691345,1.00E-06,L-threonine
leu_L_m,ERR5691345,1.00E-06,L-leucine
glu_L_m,ERR5691345,1.00E-06,L-glutamate(1-)
gly_m,ERR5691345,1.00E-06,Glycine
asp_L_m,ERR5691345,1.00E-06,L-aspartate(1-)
ocdca_m,ERR5691345,0.006915196,octadecanoate (n-C18:0)
drib_m,ERR5691345,1.00E-06,2-deoxy-D-ribose
fru_m,ERR5691345,1.00E-06,D-Fructose
man_m,ERR5691345,1.00E-06,D-Mannose
gal_m,ERR5691345,1.00E-06,D-Galactose
mnl_m,ERR5691345,1.00E-06,D-Mannitol
indole_m,ERR5691345,1.00E-06,Indole
sbt_D_m,ERR5691345,1.00E-06,D-glucitol
malt_m,ERR5691345,1.00E-06,Maltose
sucr_m,ERR5691345,0.0074493,Sucrose
lcts_m,ERR5691345,0.0074493,Lactose
melib_m,ERR5691345,0.0074493,Melibiose
kestopt_m,ERR5691345,1.00E-06,"Kestopentaose (4 fru, 1 glc inulin-type fructo-oligosaccharide)"
raffin_m,ERR5691345,0.004701945,Raffinose
ttdca_m,ERR5691345,0.00203206,tetradecanoate (n-C14:0)
fe3_m,ERR5691345,0.000251463,Fe3+
fe2_m,ERR5691345,0.000251489,Fe2+
pnto_R_m,ERR5691345,1.00E-06,(R)-Pantothenate
fol_m,ERR5691345,1.00E-06,Folate
mg2_m,ERR5691345,0.000251471,magnesium
cl_m,ERR5691345,0.000251471,Chloride
k_m,ERR5691345,0.000251471,potassium
cobalt2_m,ERR5691345,0.000251471,Co2+
zn2_m,ERR5691345,0.000251471,Zinc
ca2_m,ERR5691345,0.000251471,calcium(2+)
cu2_m,ERR5691345,0.000251471,Cu2+
mn2_m,ERR5691345,0.000251471,Mn2+
arab_L_m,ERR5691345,1.00E-06,L-arabinose
4abz_m,ERR5691345,1.00E-06,4-Aminobenzoate
glcn_m,ERR5691345,1.00E-06,D-gluconate
ptrc_m,ERR5691345,1.00E-06,Putrescine
pheme_m,ERR5691345,0.000251381,Protoheme
spmd_m,ERR5691345,0.000251381,Spermidine
thm_m,ERR5691345,0.000251381,Thiamin
12dgr180_m,ERR5691345,1.00E-06,"1,2-Diacyl-sn-glycerol (dioctadecanoyl, n-C18:0)"
pydx_m,ERR5691345,1.00E-06,Pyridoxal
so4_m,ERR5691345,0.000251471,sulfate
thymd_m,ERR5691345,1.00E-06,Thymidine
pydxn_m,ERR5691345,1.00E-06,Pyridoxine
lanost_m,ERR5691345,1.00E-06,lanosterol
q8_m,ERR5691345,0.000251381,Ubiquinone-8
hdca_m,ERR5691345,1.00E-06,Hexadecanoate (n-C16:0)
mqn8_m,ERR5691345,0.000251372,Menaquinone 8
lmn30_m,ERR5691345,1.00E-06,"laminarin (n=30 repeat units, beta -1,3 glc)"
