sample_id	Assay_Type	AvgSpotLen	BioProject	BioSample	Protein_type	Protein_category	Protein_source	Age_in_weeks	Protein_class	Protein_level	Protein_quantity	Center_Name	environment_(biome)	Isolation_source	Experiment	Country	Instrument	Investigation_type	LibrarySelection	Platform	Library_layout	SRA_Study	Breed	Protein	Period_of_experiment_in_days	Gender
#q2:types	categorical	numeric	categorical	categorical	categorical	categorical	categorical	numeric	categorical	categorical	numeric	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	numeric	categorical
ERR5691345	AMPLICON	599	PRJEB37442	SAMEA8544640	Casein	Casein	Animal	10	Casein	High Protein	89	LAVAL UNIVERSITY	germ-free mouse	Feces	ERX5406799	Canada	Illumina MiSeq	metagenome	PCR	ILLUMINA	SINGLE	ERP120756	C57BL/6J	Casein	14	male
ERR5691346	AMPLICON	598	PRJEB37442	SAMEA8544641	Casein	Casein	Animal	10	Casein	High Protein	89	LAVAL UNIVERSITY	germ-free mouse	Feces	ERX5406800	Canada	Illumina MiSeq	metagenome	PCR	ILLUMINA	SINGLE	ERP120756	C57BL/6J	Casein	14	male
ERR5691347	AMPLICON	599	PRJEB37442	SAMEA8544642	Casein	Casein	Animal	10	Casein	High Protein	89	LAVAL UNIVERSITY	germ-free mouse	Feces	ERX5406801	Canada	Illumina MiSeq	metagenome	PCR	ILLUMINA	SINGLE	ERP120756	C57BL/6J	Casein	14	male
ERR5691351	AMPLICON	599	PRJEB37442	SAMEA8544646	Casein	Casein	Animal	10	Casein	High Protein	89	LAVAL UNIVERSITY	germ-free mouse	Feces	ERX5406805	Canada	Illumina MiSeq	metagenome	PCR	ILLUMINA	SINGLE	ERP120756	C57BL/6J	Casein	14	male
ERR5691352	AMPLICON	599	PRJEB37442	SAMEA8544647	Casein	Casein	Animal	10	Casein	High Protein	89	LAVAL UNIVERSITY	germ-free mouse	Feces	ERX5406806	Canada	Illumina MiSeq	metagenome	PCR	ILLUMINA	SINGLE	ERP120756	C57BL/6J	Casein	14	male
ERR5691353	AMPLICON	599	PRJEB37442	SAMEA8544648	Casein	Casein	Animal	10	Casein	High Protein	89	LAVAL UNIVERSITY	germ-free mouse	Feces	ERX5406807	Canada	Illumina MiSeq	metagenome	PCR	ILLUMINA	SINGLE	ERP120756	C57BL/6J	Casein	14	male
ERR5691357	AMPLICON	599	PRJEB37442	SAMEA8544652	Casein	Casein	Animal	10	Casein	High Protein	89	LAVAL UNIVERSITY	germ-free mouse	Feces	ERX5406811	Canada	Illumina MiSeq	metagenome	PCR	ILLUMINA	SINGLE	ERP120756	C57BL/6J	Casein	14	male
ERR5691358	AMPLICON	598	PRJEB37442	SAMEA8544653	Casein	Casein	Animal	10	Casein	High Protein	89	LAVAL UNIVERSITY	germ-free mouse	Feces	ERX5406812	Canada	Illumina MiSeq	metagenome	PCR	ILLUMINA	SINGLE	ERP120756	C57BL/6J	Casein	14	male
ERR5691359	AMPLICON	599	PRJEB37442	SAMEA8544654	Casein	Casein	Animal	10	Casein	High Protein	89	LAVAL UNIVERSITY	germ-free mouse	Feces	ERX5406813	Canada	Illumina MiSeq	metagenome	PCR	ILLUMINA	SINGLE	ERP120756	C57BL/6J	Casein	14	male
ERR5691363	AMPLICON	599	PRJEB37442	SAMEA8544658	Casein	Casein	Animal	10	Casein	High Protein	89	LAVAL UNIVERSITY	germ-free mouse	Feces	ERX5406817	Canada	Illumina MiSeq	metagenome	PCR	ILLUMINA	SINGLE	ERP120756	C57BL/6J	Casein	14	male
ERR5691364	AMPLICON	598	PRJEB37442	SAMEA8544659	Casein	Casein	Animal	10	Casein	High Protein	89	LAVAL UNIVERSITY	germ-free mouse	Feces	ERX5406818	Canada	Illumina MiSeq	metagenome	PCR	ILLUMINA	SINGLE	ERP120756	C57BL/6J	Casein	14	male
ERR5691365	AMPLICON	599	PRJEB37442	SAMEA8544660	Casein	Casein	Animal	10	Casein	High Protein	89	LAVAL UNIVERSITY	germ-free mouse	Feces	ERX5406819	Canada	Illumina MiSeq	metagenome	PCR	ILLUMINA	SINGLE	ERP120756	C57BL/6J	Casein	14	male
SRR20999497	AMPLICON	500	PRJNA868153	SAMN30225124	Casein	Casein	Animal	8	Casein	High Protein	60	"SHANGHAI INSTITUTE OF NUTRITION AND HEALTH, CHINESE ACADEMY OF SCIENCES"	Mus musculus	Cecal Content	SRX17016316	China	Illumina NovaSeq 6000	METAGENOMIC	PCR	ILLUMINA		SRP390822	C57BL/6J	Casein	6	male
SRR20999498	AMPLICON	500	PRJNA868153	SAMN30225123	Casein	Casein	Animal	8	Casein	High Protein	60	"SHANGHAI INSTITUTE OF NUTRITION AND HEALTH, CHINESE ACADEMY OF SCIENCES"	Mus musculus	Cecal Content	SRX17016315	China	Illumina NovaSeq 6000	METAGENOMIC	PCR	ILLUMINA		SRP390822	C57BL/6J	Casein	6	male
SRR20999500	AMPLICON	500	PRJNA868153	SAMN30225122	Casein	Casein	Animal	8	Casein	High Protein	60	"SHANGHAI INSTITUTE OF NUTRITION AND HEALTH, CHINESE ACADEMY OF SCIENCES"	Mus musculus	Cecal Content	SRX17016313	China	Illumina NovaSeq 6000	METAGENOMIC	PCR	ILLUMINA		SRP390822	C57BL/6J	Casein	6	male
SRR20999501	AMPLICON	500	PRJNA868153	SAMN30225121	Casein	Casein	Animal	8	Casein	High Protein	60	"SHANGHAI INSTITUTE OF NUTRITION AND HEALTH, CHINESE ACADEMY OF SCIENCES"	Mus musculus	Cecal Content	SRX17016312	China	Illumina NovaSeq 6000	METAGENOMIC	PCR	ILLUMINA		SRP390822	C57BL/6J	Casein	6	male
SRR20999502	AMPLICON	500	PRJNA868153	SAMN30225120	Casein	Casein	Animal	8	Casein	High Protein	60	"SHANGHAI INSTITUTE OF NUTRITION AND HEALTH, CHINESE ACADEMY OF SCIENCES"	Mus musculus	Cecal Content	SRX17016311	China	Illumina NovaSeq 6000	METAGENOMIC	PCR	ILLUMINA		SRP390822	C57BL/6J	Casein	6	male
SRR20999503	AMPLICON	500	PRJNA868153	SAMN30225119	Casein	Casein	Animal	8	Casein	High Protein	60	"SHANGHAI INSTITUTE OF NUTRITION AND HEALTH, CHINESE ACADEMY OF SCIENCES"	Mus musculus	Cecal Content	SRX17016310	China	Illumina NovaSeq 6000	METAGENOMIC	PCR	ILLUMINA		SRP390822	C57BL/6J	Casein	6	male
SRR20999504	AMPLICON	500	PRJNA868153	SAMN30225118	Casein	Casein	Animal	8	Casein	High Protein	60	"SHANGHAI INSTITUTE OF NUTRITION AND HEALTH, CHINESE ACADEMY OF SCIENCES"	Mus musculus	Cecal Content	SRX17016309	China	Illumina NovaSeq 6000	METAGENOMIC	PCR	ILLUMINA		SRP390822	C57BL/6J	Casein	6	male
SRR20999513	AMPLICON	500	PRJNA868153	SAMN30225110	Casein	Casein	Animal	8	Casein	High Protein	60	"SHANGHAI INSTITUTE OF NUTRITION AND HEALTH, CHINESE ACADEMY OF SCIENCES"	Mus musculus	Cecal Content	SRX17016300	China	Illumina NovaSeq 6000	METAGENOMIC	PCR	ILLUMINA		SRP390822	C57BL/6J	Casein	4	male
SRR20999514	AMPLICON	500	PRJNA868153	SAMN30225109	Casein	Casein	Animal	8	Casein	High Protein	60	"SHANGHAI INSTITUTE OF NUTRITION AND HEALTH, CHINESE ACADEMY OF SCIENCES"	Mus musculus	Cecal Content	SRX17016299	China	Illumina NovaSeq 6000	METAGENOMIC	PCR	ILLUMINA		SRP390822	C57BL/6J	Casein	4	male
SRR20999515	AMPLICON	500	PRJNA868153	SAMN30225108	Casein	Casein	Animal	8	Casein	High Protein	60	"SHANGHAI INSTITUTE OF NUTRITION AND HEALTH, CHINESE ACADEMY OF SCIENCES"	Mus musculus	Cecal Content	SRX17016298	China	Illumina NovaSeq 6000	METAGENOMIC	PCR	ILLUMINA		SRP390822	C57BL/6J	Casein	4	male
SRR20999516	AMPLICON	500	PRJNA868153	SAMN30225107	Casein	Casein	Animal	8	Casein	High Protein	60	"SHANGHAI INSTITUTE OF NUTRITION AND HEALTH, CHINESE ACADEMY OF SCIENCES"	Mus musculus	Cecal Content	SRX17016297	China	Illumina NovaSeq 6000	METAGENOMIC	PCR	ILLUMINA		SRP390822	C57BL/6J	Casein	4	male
