OTUID,MeanDecreaseAccuracy,Kingdom,Phylum,Class,Order,Family,Genus,Species
fbcf20163c6514386170d7ab57ef79d9,5.674502894,d__Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Unassigned
33962251f1aab896a2e824c87c5f5b08,5.634711866,d__Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,Faecalibaculum,Unassigned
2514561daacc58e9b7a64e3ccf122a08,5.557552935,d__Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,Faecalibaculum,Unassigned
6b4f8dc27b4abfb9da0d1378b7b767e4,5.192882205,d__Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,Faecalibaculum,Unassigned
e2466c899b266187a19d3a16efc02292,4.907837578,d__Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,Muribaculaceae,Unassigned
78e56f6f7d5ed4ac896c6b0a66d09e97,4.819395422,d__Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,Ileibacterium,Unassigned
065a372430d93b223922edcf779f5bd1,4.778971351,d__Bacteria,Actinobacteriota,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Unassigned
c85b852edf1ae8a7f0e9572dcb9e1931,4.755968838,d__Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Sutterellaceae,Parasutterella,Unassigned
25d74c1e4ec684dcc5fdd847304fbec2,4.57452852,d__Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,Muribaculaceae,Unassigned
09b14cbaa5c523b8332de0487f1b5dca,4.570591511,d__Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,Muribaculaceae,Unassigned
