"OTUID","Animal","Plant","MeanDecreaseAccuracy","MeanDecreaseGini","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"03b2222b2d480bbc99d6c6d9395f2557",4.1773520782402,4.42024633177297,4.48849345294327,0.307515003611833,"d__Bacteria","Firmicutes","Clostridia","Monoglobales","Monoglobaceae","Monoglobus","Unassigned"
"065a372430d93b223922edcf779f5bd1",4.24202649773951,4.47957233822424,4.77897135058767,0.2919517363242,"d__Bacteria","Actinobacteriota","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","Unassigned"
"09b14cbaa5c523b8332de0487f1b5dca",4.55845807771709,4.51355066897954,4.57059151063048,0.305150597473625,"d__Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Muribaculaceae","Unassigned"
"2514561daacc58e9b7a64e3ccf122a08",4.67347964972716,5.84474381560834,5.55755293478572,0.446042659214173,"d__Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelotrichaceae","Faecalibaculum","Unassigned"
"25d74c1e4ec684dcc5fdd847304fbec2",4.71951450333885,4.280366461708,4.57452852047587,0.306004636841182,"d__Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Muribaculaceae","Unassigned"
"33962251f1aab896a2e824c87c5f5b08",4.94891916872553,5.52979070967835,5.63471186596775,0.461056462287459,"d__Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelotrichaceae","Faecalibaculum","Unassigned"
"6b4f8dc27b4abfb9da0d1378b7b767e4",4.16079719764707,5.62430311274095,5.19288220507239,0.380860835331108,"d__Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelotrichaceae","Faecalibaculum","Unassigned"
"7368f0906ca29f7da8961851d82f2e57",4.4362346451243,4.07010849752688,4.29478636946763,0.335310750321351,"d__Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelotrichaceae","Ileibacterium","Unassigned"
"78e56f6f7d5ed4ac896c6b0a66d09e97",4.83874340528764,4.64165727154617,4.8193954224505,0.295716019815342,"d__Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelotrichaceae","Ileibacterium","Unassigned"
"ad4d8b7de4ec091d01891b7f4bc3076a",4.31432857461916,3.96814320423521,4.28671569362381,0.252021813504082,"d__Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Muribaculaceae","Unassigned"
"ae2fda8b44d4a22c0694d7d27072b48e",4.54873600942698,4.36398336139781,4.54199545113837,0.386414505046003,"d__Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Muribaculaceae","Unassigned"
"bc1f7bd727e991a20a8d8011f8fa7313",4.31103154991268,4.46426705544245,4.42715263884233,0.331261704894916,"d__Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Muribaculaceae","Unassigned"
"c85b852edf1ae8a7f0e9572dcb9e1931",4.0575082988148,4.6496747668062,4.75596883787344,0.338358809462442,"d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Sutterellaceae","Parasutterella","Unassigned"
"d6b061783b1ee70567692c31697326de",3.61576280580678,4.36642811505359,4.32983061166142,0.248024701898125,"d__Bacteria","Firmicutes","Clostridia","Clostridia_vadinBB60_group","Clostridia_vadinBB60_group","Clostridia_vadinBB60_group","Unassigned"
"e2466c899b266187a19d3a16efc02292",5.00916091718284,4.67907807661141,4.90783757809464,0.380251639818334,"d__Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Muribaculaceae","Unassigned"
"ef5945ed25aa2292a59b7996e668e659",4.32423405954158,4.08933718524197,4.28311673010915,0.3313418539151,"d__Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelotrichaceae","Allobaculum","Unassigned"
"efc9e6f64a63118c94079f6b25f8546f",4.43224949896888,4.47853245019385,4.46790600352156,0.281316214564218,"d__Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Tannerellaceae","Unassigned","Unassigned"
"f3a97eade71e62bc67473e14d3b1891a",3.64709424651075,4.34512914619039,4.22610097351737,0.286835962607669,"d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Sutterellaceae","Parasutterella","Unassigned"
"fbcf20163c6514386170d7ab57ef79d9",5.70283115585675,5.55747309013256,5.67450289408105,0.498213311920292,"d__Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Unassigned"
"fe0f8f51bd06947df27aed522762b93d",4.58627659630795,4.14192400172967,4.4077238088377,0.315746249084131,"d__Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Muribaculaceae","Unassigned"
